339,Dark Cloud,2016-09-06,Level-5,Japan
416,Grand Theft Auto III (2001),2016-09-06,Rockstar North,Scotland
417,Grand Theft Auto: Vice City (2002),2016-09-06,Rockstar North,Scotland
418,Grand Theft Auto: San Andreas (2004),2016-09-06,Rockstar North,Scotland
490,Mega Man Legacy Collection,2016-09-06,Digital Eclipse,USA
525,PaRappa The Rapper 2,2016-09-06,NanaOn-Sha,Japan
569,Rocketbirds 2: Evolution,2016-09-06,Ratloop Asia,Singapore
540,Psychonauts,2016-09-10,Double Fine Productions,USA
562,Retro City Rampage DX,2016-09-10,Vblank Entertainment,Canada
641,The Last Of Us: Left Behind Remastered,2016-09-11,Naughty Dog,USA
628,Tetris Ultimate,2016-09-22,SoMa Play,USA
499,Monopoly Family Fun Pack,2016-09-22,Asobo Studio,France
322,Child Of Light,2016-09-22,Ubisoft Montreal,Canada
689,Viking Squad,2016-10-05,Slick Entertainment,Canada
523,PAC-MAN 256,2016-10-07,Hipster Whale,Australia
340,Dark Chronicle (Dark Cloud 2),2016-10-07,Level-5,Japan
387,Fat Princess Adventures,2016-10-07,Fun Bits Interactive,USA
408,Goat Simulator,2016-10-07,Coffee Stain Studios,Sweden
60,Toy Story 2,2016-10-10,TT Games,England
24,Hercules,2016-10-12,Eurocom Entertainment Software,England
648,The Walking Dead Season 2 TTG,2016-10-21,Telltale Games,USA
39,Resident Evil: Directors Cut (1997),2016-10-22,Capcom,Japan
41,Resident Evil 3: Nemesis (1999),2016-10-22,Capcom,Japan
253,Silent Hill: Book of Memories,2016-10-22,WayForward Technologies Inc,USA
431,Home,2016-10-23,Benjamin Rivers Inc,Canada
438,inFamous Second Son,2016-11-26,Sucker Punch Productions,USA
439,inFamous First Light,2016-11-26,Sucker Punch Productions,USA
468,Life Is Strange,2016-11-26,Dontnod Entertainment,France
290,Batman Season 1 TTG,2016-11-26,Telltale Games,USA
82,Grand Theft Auto: Liberty City Stories,2016-11-26,Rockstar Leeds,England
83,Grand Theft Auto: Vice City Stories,2016-11-26,Rockstar Leeds,England
84,Grand Theft Auto: Chinatown Wars,2016-11-26,Rockstar Leeds,England
201,Sly Cooper and the Thievius Raccoonus,2016-11-26,Sucker Punch Productions,USA
202,Sly 2: Band of Thieves,2016-11-26,Sucker Punch Productions,USA
203,Sly 3: Honour Among Thieves,2016-11-26,Sucker Punch Productions,USA
627,Tethered,2016-12-06,Secret Sorcery,England
571,Rollercoaster Dreams,2016-12-20,Bimboosoft,Japan
