USA,280
Japan,168
England,163
Canada,77
Sweden,38
France,37
Australia,20
Germany,18
Finland,16
Poland,14
Spain,12
Netherlands,11
Scotland,9
Denmark,9
Italy,7
Russia,6
Ukraine,5
China,5
Czech Republic,4
Austria,4
Singapore,4
Indonesia,3
Republic of Ireland,3
Wales,3
Belarus,2
Hungary,2
Iceland,2
Korea Republic,2
Mexico,1
Luxembourg,1
Slovenia,1
Taiwan,1
Belgium,1
Northern Ireland,1
Bulgaria,1
South Africa,1
Peru,1
Portugal,1
El Salvador,1
New Zealand,1
Israel,1
Lithuania,1
Croatia,1
Norway,1
Switzerland,1
Brazil,1
Colombia,1
